trackname,hplayed,mplayed
Nuvole Bianche,4.4219252777777776,265.31551666666667
Campfire,3.014294444444444,180.85766666666674
Gravity,2.2612799999999997,135.67680000000004
Ascent,2.117960555555556,127.07763333333335
Divenire,2.0228136111111104,121.36881666666667
Ascent,1.505748333333334,90.34489999999997
The Path Of The Fossils,1.4990241666666664,89.94145000000002
In Un'altra Vita - Live / Remastered 2020,1.4971174999999999,89.82705000000003
Low Mist Var. 2 - Day 6,1.345398888888889,80.72393333333333
Due Tramonti - Remastered 2020,1.1504258333333337,69.02555000000001
Le onde,1.1460291666666664,68.76174999999999
Fuori Dal Mondo - Remastered 2020,1.0652774999999999,63.916650000000004
Other Nature - Remastered 2020,1.061071111111111,63.66426666666666
Mali Sajio - Remastered 2020,1.0562955555555555,63.377733333333325
Oltremare,0.9246847222222222,55.48108333333333
Giorni Dispari - Remastered 2020,0.8756666666666667,52.539999999999985
Petricor,0.8711283333333333,52.267700000000005
Primavera,0.8616805555555556,51.70083333333333
Fly,0.8550369444444443,51.30221666666668
Main Theme - From “The Third Murder” / Remastered 2020,0.815659722222222,48.93958333333334
Al di là del Vetro - Live / Remastered 2020,0.8082736111111111,48.496416666666676
Choros - Remastered 2020,0.7778666666666667,46.672
Low Mist - Day 7,0.7261933333333335,43.5716
Low Mist - Day 1,0.7007966666666667,42.0478
A Sense Of Symmetry - Day 7,0.6829022222222223,40.974133333333334
Una mattina,0.6617561111111112,39.70536666666668
Resta Con Me - Remastered 2020,0.6594666666666668,39.56799999999999
Koepenik - Remastered 2020,0.6352666666666666,38.116
I giorni,0.6133858333333333,36.803149999999995
Low Mist Var. 2 - Day 7,0.5989944444444445,35.93966666666666
Birdsong - Day 7,0.5819741666666668,34.91845
Tu Sei,0.5755216666666666,34.5313
Elements,0.5691752777777778,34.15051666666667
Mercury Sands - Remastered 2020,0.5628255555555556,33.769533333333335
Cold Wind Var. 1 - Day 7,0.5604286111111111,33.62571666666666
Berlin Song,0.5559069444444444,33.354416666666665
Ora,0.5394916666666667,32.369499999999995
La Nascita - Live / Remastered 2020,0.5261786111111111,31.570716666666677
Elegy For The Arctic - Remastered 2020,0.4648825,27.892950000000006
Experience,0.45621111111111107,27.372666666666667
Gravity,0.45396499999999995,27.2379
Elegy For The Arctic - Official Live (Greenpeace),0.4446430555555555,26.678583333333332
A Sense Of Symmetry,0.4321333333333333,25.927999999999997
Cold Wind Var. 2 - Day 7,0.4256,25.536
Inizio - Remastered 2020,0.4011,24.066
Golden Butterflies Var. 1 - Day 7,0.3894666666666668,23.368
Ascent,0.38597194444444444,23.158316666666668
Nuvole Bianche,0.3803111111111111,22.818666666666665
Full Moon - Day 3,0.36408888888888885,21.845333333333333
Gravity,0.3640347222222222,21.842083333333335
